Lemma,SFI Rank,SFI,Adjusted Frequency per Million (U),意味,例文,,
could,66,72.27,1688,(助動詞) ～できた（canの過去形）、～かもしれない。,I **could** swim when I was young.,,
work,67,72.24,1674,(動詞/名詞) 働く、仕事。,I **work** in an office.,,
use,68,72.19,1657,(動詞/名詞) 使う、使用。,Can I **use** your pen?,,
than,69,72.02,1591,(接続詞/前置詞) ～よりも。,He is taller **than** me.,,
now,70,71.94,1563,(副詞) 今。,I need to go **now**.,,
then,71,71.91,1554,(副詞) その時、それから。,First, wash your hands, **then** eat.
also,72,71.91,1552,(副詞) ～もまた。,She is a doctor **also** a writer.,,
into,73,71.7,1477,(前置詞) ～の中へ。,He walked **into** the room.,,
only,74,71.69,1475,(副詞) ～だけ、唯一の。,I have **only** one brother.,,
look,75,71.37,1370,(動詞) 見る、～に見える。,**Look** at that beautiful view!,,
want,76,71.31,1354,(動詞) ～が欲しい、～したい。,I **want** to learn English.,,
give,77,71.24,1332,(動詞) 与える。,Please **give** me a pen.,,
first,78,71.21,1321,(形容詞/副詞) 最初の、最初に。,This is my **first** time here.,,
new,79,71.1,1290,(形容詞) 新しい。,I bought a **new** car.,,
way,80,71.07,1279,(名詞) 道、方法。,Which **way** should we go?,,
find,81,70.92,1236,(動詞) 見つける。,Did you **find** your keys?,,
over,82,70.92,1235,(前置詞/副詞) ～の上に、終わって。,The game is **over**.,,
any,83,70.88,1224,(形容詞/代名詞) 何か、どれでも。,Do you have **any** questions?,,
after,84,70.83,1210,(前置詞/接続詞) ～の後で。,Let's meet **after** work.,,
day,85,70.75,1187,(名詞) 日。,Have a nice **day**!,,
where,86,70.75,1187,(副詞) どこに。,**Where** do you live?,,
thing,87,70.65,1161,(名詞) 物、こと。,What's that **thing**?,,
most,88,70.59,1146,(形容詞/副詞) ほとんどの、最も。,**Most** people like music.,,
should,89,70.54,1132,(助動詞) ～すべきである。,You **should** study harder.,,
need,90,70.53,1129,(動詞/名詞) 必要とする、必要。,I **need** your help.,,
much,91,70.51,1125,(形容詞/副詞) たくさんの、非常に。,I don't have **much** money.,,
right,92,70.47,1113,(形容詞/副詞/名詞) 正しい、右、権利。,You are **right**.,,
how,93,70.39,1093,(副詞) どのように。,**How** are you?,,
back,94,70.22,1051,(副詞/名詞) 後ろへ、背中。,I'll be **back** soon.,,
mean,95,70.09,1021,(動詞) 意味する。,What does this **mean**?,,
even,96,69.95,988,(副詞) ～でさえ、さらに。,**Even** a child can do it.,,
may,97,69.82,959,(助動詞) ～かもしれない、～してもよい。,It **may** rain tomorrow.,,
here,98,69.77,947,(副詞) ここに。,Come **here**!,,
many,99,69.75,945,(形容詞/代名詞) 多くの。,I have **many** books.,,
such,100,69.71,936,(形容詞) そのような。,It was **such** a beautiful day.,,
last,101,69.62,917,(形容詞/動詞) 最後の、続く。,This is the **last** chance.,,
child,102,69.59,910,(名詞) 子供。,She has two **children**.,,
tell,103,69.55,901,(動詞) 伝える、教える。,Please **tell** me your name.,,
really,104,69.4,870,(副詞) 本当に。,I'm **really** sorry.,,
call,105,69.39,869,(動詞/名詞) 呼ぶ、電話する。,Please **call** me later.,,
before,106,69.29,849,(前置詞/接続詞) ～の前に。,Please finish it **before** noon.,,
company,107,69.25,842,(名詞) 会社、仲間。,He works for a big **company**.,,
through,108,69.23,838,(前置詞) ～を通り抜けて、～を通して。,We drove **through** the tunnel.,,
down,109,69.21,833,(副詞/前置詞) 下へ。,Please sit **down**.,,
show,110,69.18,827,(動詞/名詞) 見せる、ショー。,Can you **show** me your photo?,,
life,111,69.09,812,(名詞) 人生、生命。,Enjoy your **life**!,,
man,112,69.07,807,(名詞) 男性、人。,He is a good **man**.,,
change,113,69.02,799,(動詞/名詞) 変える、変化。,Let's **change** the topic.,,
place,114,69,795,(名詞/動詞) 場所、置く。,This is a beautiful **place**.,,
long,115,68.98,791,(形容詞/副詞) 長い、長く。,It was a **long** journey.,,
between,116,68.94,784,(前置詞) ～の間に（2つのもの）。,The shop is **between** the bank and the post office.,,
feel,117,68.92,780,(動詞) 感じる。,How do you **feel** today?,,
too,118,68.82,763,(副詞) ～もまた、～すぎる。,It's **too** hot today.,,
still,119,68.76,752,(副詞) まだ、じっと。,She is **still** waiting.,,
problem,120,68.65,733,(名詞) 問題。,I have a **problem**.,,
write,121,68.65,732,(動詞) 書く。,Can you **write** your name?,,
same,122,68.58,721,(形容詞) 同じ。,We have the **same** opinion.,,
lot,123,68.54,715,(名詞) たくさん（a lot of）。,I have a **lot** of homework.,,
great,124,68.51,710,(形容詞) 素晴らしい、偉大な。,That's a **great** idea!,,
try,125,68.45,699,(動詞) 試す、努力する。,I will **try** my best.,,
leave,126,68.44,699,(動詞) 去る、残す。,Don't **leave** your bag here.,,
number,127,68.44,698,(名詞) 数、番号。,What is your phone **number**?,,
both,128,68.42,695,(代名詞/形容詞) 両方。,**Both** of them are students.,,
own,129,68.4,693,(形容詞/動詞) 自分の、所有する。,I have my **own** room.,,
part,130,68.4,692,(名詞) 部分、役割。,It's a small **part** of the project.,,
point,131,68.35,684,(名詞/動詞) 点、指し示す。,What's your **point**?,,
little,132,68.33,681,(形容詞/副詞) 小さい、少し。,I have a **little** brother.,,
help,133,68.32,680,(動詞/名詞) 助ける、助け。,Can I **help** you?,,
ask,134,68.29,675,(動詞) 尋ねる、頼む。,Please **ask** me any questions.,,
meet,135,68.26,671,(動詞) 会う。,Let's **meet** tomorrow.,,
start,136,68.26,669,(動詞/名詞) 始める、始まり。,Let's **start** the meeting.,,
talk,137,68.23,665,(動詞/名詞) 話す、話。,Let's **talk** about it.,,
something,138,68.23,665,(代名詞) 何か。,I need **something** to eat.,,
put,139,68.16,655,(動詞) 置く。,Please **put** your bag on the floor.,,
another,140,68.16,655,(形容詞/代名詞) もう一つの、別の。,Can I have **another** cup of tea?,,
become,141,68.15,654,(動詞) ～になる。,She wants to **become** a teacher.,,
interest,142,68.15,653,(名詞/動詞) 興味、利子。,I have a strong **interest** in history.,,
country,143,68.15,653,(名詞) 国、田舎。,Which **country** are you from?,,
old,144,68.11,647,(形容詞) 古い、年老いた。,How **old** are you?,,
each,145,68.1,646,(形容詞/代名詞) それぞれの、各々。,**Each** student received a certificate.,,
school,146,68.05,638,(名詞) 学校。,I go to **school** every day.,,
late,147,68.05,638,(形容詞/副詞) 遅い、遅れて。,I was **late** for work.,,
high,148,68.04,637,(形容詞) 高い。,The mountain is very **high**.,,
different,149,68.03,636,(形容詞) 異なる。,We have **different** opinions.,,
off,150,68,630,(副詞/前置詞) 離れて、～から離れて。,Please turn **off** the light.,,
next,151,67.92,620,(形容詞/副詞) 次の、隣の。,The **next** bus will arrive soon.,,
end,152,67.92,619,(名詞/動詞) 終わり、終える。,This is the **end** of the story.,,
live,153,67.84,608,(動詞) 住む、生きる。,I **live** in Tokyo.,,
why,154,67.83,607,(副詞/接続詞) なぜ。,**Why** are you sad?,,
while,155,67.77,598,(接続詞) ～する間に、一方。,Please wait **while** I check.,,
world,156,67.76,597,(名詞) 世界。,The **world** is a beautiful place.,,
week,157,67.75,596,(名詞) 週。,I'll see you next **week**.,,
play,158,67.73,593,(動詞) 遊ぶ、演奏する。,Let's **play** soccer.,,
might,159,67.68,587,(助動詞) ～かもしれない。,It **might** rain later.,,
must,160,67.68,586,(助動詞) ～しなければならない。,You **must** finish your homework.,,
home,161,67.67,585,(名詞/副詞) 家、家に。,I'm going **home**.,,
never,162,67.63,580,(副詞) 決して～ない。,I have **never** been there.,,
include,163,67.6,575,(動詞) 含む。,The price **includes** breakfast.,,
course,164,67.6,575,(名詞) コース、講座。,What **course** are you taking?,,
house,165,67.57,572,(名詞) 家。,I live in a big **house**.,,
report,166,67.56,570,(名詞/動詞) 報告書、報告する。,Please submit your **report**.,,
group,167,67.55,569,(名詞) グループ、集団。,We work in a small **group**.,,
case,168,67.55,569,(名詞) ケース、場合。,In this **case**, we need to act quickly.,
woman,169,67.55,568,(名詞) 女性。,She is a strong **woman**.,,
around,170,67.54,568,(前置詞/副詞) ～の周りに、あたりに。,Let's walk **around** the park.,,
book,171,67.53,566,(名詞/動詞) 本、予約する。,I'm reading a good **book**.,,
family,172,67.52,565,(名詞) 家族。,I love my **family**.,,
seem,173,67.5,562,(動詞) ～のように見える。,She **seems** happy.,,
let,174,67.44,555,(動詞) ～させる、許す。,**Let** me know if you need help.,,
again,175,67.44,554,(副詞) 再び、もう一度。,Please say it **again**.,,
kind,176,67.43,554,(名詞/形容詞) 種類、親切な。,What **kind** of music do you like?,,
keep,177,67.41,551,(動詞) 保つ、続ける。,Please **keep** quiet.,,
hear,178,67.37,546,(動詞) 聞く。,Can you **hear** me?,,
system,179,67.36,545,(名詞) システム、体系。,The computer **system** is down.,,
every,180,67.36,545,(形容詞) 毎～、すべての。,**Every** student must attend.,,
question,181,67.34,542,(名詞/動詞) 質問、質問する。,Do you have any **questions**?,,
during,182,67.32,540,(前置詞) ～の間（期間）。,I studied **during** the summer.,,
always,183,67.25,531,(副詞) いつも。,She **always** smiles.,,
big,184,67.22,527,(形容詞) 大きい。,I live in a **big** city.,,
set,185,67.21,526,(動詞/名詞) 置く、セット。,Please **set** the table.,,
small,186,67.2,525,(形容詞) 小さい。,I have a **small** dog.,,
study,187,67.19,524,(動詞/名詞) 勉強する、研究。,I need to **study** for my exam.,,
follow,188,67.17,521,(動詞) 従う、追いかける。,Please **follow** the instructions.,,
begin,189,67.14,518,(動詞) 始める。,Let's **begin** the lesson.,,
important,190,67.14,518,(形容詞) 重要な。,This is a very **important** document.,,
since,191,67.12,515,(前置詞/接続詞) ～以来、～なので。,I haven't seen her **since** last year.,,
run,192,67.08,510,(動詞) 走る。,I like to **run** in the morning.,,
under,193,67.07,509,(前置詞) ～の下に。,The cat is **under** the table.,,
turn,194,67.07,509,(動詞/名詞) 回す、順番。,Please **turn** left.,,
few,195,67.07,509,(形容詞/代名詞) 少数の。,I have a **few** questions.,,
bring,196,67,502,(動詞) 持ってくる。,Please **bring** your book.,,
early,197,66.98,499,(副詞/形容詞) 早く、早い。,I woke up **early** today.,,
hand,198,66.97,497,(名詞/動詞) 手、手渡す。,Please give me your **hand**.,,
state,199,66.94,494,(名詞/動詞) 状態、述べる。,What is the current **state** of affairs?,,
move,200,66.93,493,(動詞) 動く、引っ越す。,Let's **move** to a new house.,,
money,201,66.92,492,(名詞) お金。,I need some **money**.,,
fact,202,66.86,486,(名詞) 事実。,It's a known **fact**.,,
however,203,66.8,479,(副詞) しかしながら。,It was raining; **however**, we went out.,
area,204,66.78,477,(名詞) 地域、面積。,This is a quiet **area**.,,
provide,205,66.78,476,(動詞) 提供する。,We **provide** good service.,,
name,206,66.74,472,(名詞/動詞) 名前、名付ける。,What is your **name**?,,
read,207,66.73,471,(動詞) 読む。,I like to **read** books.,,
friend,208,66.7,468,(名詞) 友達。,She is my best **friend**.,,
month,209,66.7,468,(名詞) 月（暦の）。,Next **month** I will go on a trip.,,
large,210,66.67,464,(形容詞) 大きい、広い。,We need a **large** table.,,
business,211,66.67,464,(名詞) 仕事、ビジネス。,He runs a small **business**.,,
without,212,66.64,461,(前置詞) ～なしで。,I can't live **without** coffee.,,
information,213,66.62,459,(名詞) 情報。,I need more **information**.,,
open,214,66.61,459,(動詞/形容詞) 開ける、開いている。,Please **open** the door.,,
order,215,66.59,456,(名詞/動詞) 順番、命令する、注文する。,Please put them in **order**.,,
government,216,66.58,455,(名詞) 政府。,The **government** announced new policies.,,
word,217,66.58,455,(名詞) 単語、言葉。,Please say that **word** again.,,
issue,218,66.56,453,(名詞/動詞) 問題点、発行する。,We need to address this **issue**.,,
market,219,66.53,450,(名詞) 市場。,I went to the local **market**.,,
pay,220,66.51,447,(動詞/名詞) 支払う、給料。,I need to **pay** the bill.,,
build,221,66.5,446,(動詞) 建てる。,They are going to **build** a new house.,,
hold,222,66.45,442,(動詞) 持つ、開催する。,Please **hold** my hand.,,
service,223,66.44,440,(名詞) サービス、奉仕。,The customer **service** was excellent.,,
against,224,66.39,436,(前置詞) ～に反対して、～に対して。,Don't lean **against** the wall.,,
believe,225,66.38,435,(動詞) 信じる。,I **believe** in you.,,
second,226,66.36,433,(形容詞/名詞) 2番目の、秒。,This is my **second** time here.,,
though,227,66.34,430,(接続詞) ～だけれども。,It was hard, **though** I managed.,
yes,228,66.33,430,(副詞) はい。,**Yes**, I agree.,
love,229,66.3,427,(名詞/動詞) 愛、愛する。,I **love** you.,,
increase,230,66.28,425,(動詞/名詞) 増える、増加。,The population is **increasing**.,,
job,231,66.28,425,(名詞) 仕事。,I got a new **job**.,,
plan,232,66.28,425,(名詞/動詞) 計画、計画する。,What's your **plan** for the weekend?,,
result,233,66.27,424,(名詞) 結果。,What was the **result** of the test?,,
away,234,66.27,424,(副詞) 離れて、遠くへ。,Go **away**!,,
example,235,66.24,420,(名詞) 例。,This is a good **example**.,,
happen,236,66.23,420,(動詞) 起こる。,What **happened**?,,
offer,237,66.21,418,(動詞/名詞) 提供する、申し出。,I'd like to **offer** you a drink.,,
young,238,66.2,417,(形容詞) 若い。,She is a **young** woman.,,
close,239,66.19,416,(動詞/形容詞) 閉める、近い。,Please **close** the door.,,
program,240,66.17,414,(名詞) プログラム。,What's on the TV **program** tonight?,,
lead,241,66.13,410,(動詞) 導く、先導する。,He will **lead** the team.,,
buy,242,66.07,405,(動詞) 買う。,I need to **buy** some groceries.,,
understand,243,66.05,403,(動詞) 理解する。,Do you **understand**?,,
thank,244,66.01,399,(動詞) 感謝する。,**Thank** you for your help.,,
far,245,66,398,(副詞/形容詞) 遠くに、遠い。,How **far** is it?,,
today,246,65.94,392,(副詞/名詞) 今日。,I'm busy **today**.,,
hour,247,65.93,391,(名詞) 時間（60分）。,It takes an **hour**.,,
student,248,65.92,391,(名詞) 学生。,I am a **student**.,,
face,249,65.91,390,(名詞/動詞) 顔、直面する。,She has a beautiful **face**.,,
hope,250,65.89,388,(名詞/動詞) 希望、望む。,I **hope** you feel better.,,
idea,251,65.87,387,(名詞) 考え、アイデア。,That's a good **idea**.,,
cost,252,65.86,386,(名詞/動詞) 費用、費用がかかる。,What's the **cost**?,,
less,253,65.86,385,(形容詞/副詞) より少ない、より少なく。,I need **less** sugar.,,
room,254,65.85,385,(名詞) 部屋、空間。,My **room** is very clean.,,
until,255,65.83,383,(前置詞/接続詞) ～まで。,I waited **until** midnight.,,
reason,256,65.83,383,(名詞) 理由。,What's the **reason**?,,
form,257,65.79,379,(名詞/動詞) 形、形成する。,Please fill out the **form**.,,
spend,258,65.78,378,(動詞) 費やす（時間・お金）。,I like to **spend** time with friends.,,
head,259,65.77,378,(名詞/動詞) 頭、向かう。,My **head** hurts.,,
car,260,65.77,377,(名詞) 車。,I drive a red **car**.,,
learn,261,65.74,375,(動詞) 学ぶ。,I want to **learn** English.,,
level,262,65.71,373,(名詞) レベル、水準。,What **level** are you?,,
person,263,65.66,368,(名詞) 人。,She is a nice **person**.,,
experience,264,65.63,365,(名詞/動詞) 経験、経験する。,I have a lot of **experience**.,,
once,265,65.62,365,(副詞) 一度、かつて。,I went there **once**.,,
member,266,65.61,364,(名詞) メンバー、会員。,Are you a **member** of this club?,,
enough,267,65.6,363,(副詞/形容詞) 十分な、十分に。,Do you have **enough** money?,,
bad,268,65.59,363,(形容詞) 悪い。,It was a **bad** idea.,,
city,269,65.59,362,(名詞) 都市。,I live in a big **city**.,,
night,270,65.58,361,(名詞) 夜。,Good **night**!,,
able,271,65.57,361,(形容詞) ～できる（be able to）。,I am **able** to swim.,,
support,272,65.55,359,(名詞/動詞) 支援、支援する。,Thank you for your **support**.,,
whether,273,65.55,359,(接続詞) ～かどうか。,I don't know **whether** he will come.,,
line,274,65.54,358,(名詞) 線、列。,Please wait in **line**.,,
present,275,65.54,358,(形容詞/名詞/動詞) 現在の、贈り物、提示する。,He was not **present** at the meeting.,,
side,276,65.51,356,(名詞) 側面、側。,Which **side** do you prefer?,,
quite,277,65.5,354,(副詞) かなり、全く。,It's **quite** cold today.,,
although,278,65.46,351,(接続詞) ～けれども。,**Although** it was raining, we went out.,
sure,279,65.45,351,(形容詞) 確信している。,Are you **sure**?,,
term,280,65.44,350,(名詞) 用語、期間。,This is a difficult **term** to understand.,,
least,281,65.44,350,(名詞/副詞) 最も少ない、少なくとも。,At **least** you tried.,,
age,282,65.43,349,(名詞) 年齢。,What is your **age**?,,
low,283,65.43,349,(形容詞) 低い。,The price is very **low**.,,
speak,284,65.42,348,(動詞) 話す。,Can you **speak** English?,,
within,285,65.4,347,(前置詞) ～以内に、～の中に。,Please finish it **within** an hour.,,
process,286,65.4,346,(名詞/動詞) 過程、処理する。,It's a long **process**.,,
public,287,65.35,343,(形容詞/名詞) 公共の、大衆。,This is a **public** park.,,
often,288,65.33,341,(副詞) しばしば、よく。,I **often** go to the library.,,
train,289,65.29,338,(名詞/動詞) 電車、訓練する。,I take the **train** to work.,,
possible,290,65.28,337,(形容詞) 可能な。,It's **possible** to do it.,,
actually,291,65.28,337,(副詞) 実際に、実は。,I **actually** forgot about it.,,
rather,292,65.27,336,(副詞) むしろ、かなり。,I would **rather** stay home.,,
view,293,65.26,336,(名詞/動詞) 眺め、見解、見る。,The **view** from the top is amazing.,,
together,294,65.24,334,(副詞) 一緒に。,Let's go **together**.,,
consider,295,65.24,334,(動詞) 考える、考慮する。,Please **consider** my offer.,,
price,296,65.14,327,(名詞) 価格。,What's the **price**?,,
parent,297,65.14,326,(名詞) 親。,My **parents** are very supportive.,,
hard,298,65.12,325,(形容詞/副詞) 難しい、一生懸命に。,It's a **hard** problem.,,
party,299,65.08,322,(名詞) パーティー、政党。,Are you coming to the **party**?,,
local,300,65.06,321,(形容詞) 地元の。,I like to eat at **local** restaurants.,,
control,301,65.05,320,(名詞/動詞) 制御、管理する。,He has good **control** over the situation.,,
already,302,65.02,318,(副詞) すでに。,I have **already** finished my homework.,,
concern,303,65.02,317,(名詞/動詞) 心配、関心事、心配させる。,I have a **concern** about the project.,,
product,304,65.01,317,(名詞) 製品。,This is a new **product**.,,
lose,305,65,316,(動詞) 失う、負ける。,Don't **lose** your keys.,,
story,306,64.98,315,(名詞) 物語、話。,Tell me a **story**.,,
almost,307,64.98,315,(副詞) ほとんど。,I'm **almost** done.,,
continue,308,64.96,314,(動詞) 続ける。,Please **continue** reading.,,
stand,309,64.95,313,(動詞) 立つ。,Please **stand** up.,,
whole,310,64.95,313,(形容詞) 全体の。,I ate the **whole** cake.,,
yet,311,64.95,313,(副詞) まだ、しかし。,He hasn't arrived **yet**.,,
rate,312,64.94,312,(名詞/動詞) 割合、評価する。,What's the exchange **rate**?,,
care,313,64.93,311,(名詞/動詞) 世話、気遣う。,Take **care**!,,
expect,314,64.93,311,(動詞) 予期する、期待する。,I **expect** him to come.,,
effect,315,64.93,311,(名詞) 効果、影響。,The drug had no **effect**.,,
sort,316,64.92,311,(名詞/動詞) 種類、分類する。,What **sort** of music do you like?,,
ever,317,64.92,311,(副詞) 今までに、かつて。,Have you **ever** been to Paris?,,
anything,318,64.92,310,(代名詞) 何か、何でも。,Do you need **anything**?,,
cause,319,64.9,309,(名詞/動詞) 原因、引き起こす。,What was the **cause** of the accident?,,
fall,320,64.89,309,(動詞/名詞) 落ちる、秋。,Be careful not to **fall**.,,
deal,321,64.89,309,(動詞/名詞) 扱う、取引。,Let's make a **deal**.,,
water,322,64.87,307,(名詞) 水。,I need some **water**.,,
send,323,64.86,306,(動詞) 送る。,I will **send** you an email.,,
allow,324,64.84,305,(動詞) 許す。,My parents **allow** me to go out.,,
soon,325,64.84,304,(副詞) すぐに。,I'll be back **soon**.,,
watch,326,64.8,302,(動詞/名詞) 見る、腕時計。,I like to **watch** movies.,,
base,327,64.78,300,(名詞/動詞) 基礎、基づく。,This theory is **based** on facts.,,
probably,328,64.75,299,(副詞) おそらく。,It will **probably** rain tomorrow.,,
suggest,329,64.74,298,(動詞) 提案する。,I **suggest** we take a break.,,
past,330,64.73,297,(形容詞/名詞) 過去の、過去。,In the **past**, I used to play soccer.,
power,331,64.72,296,(名詞) 力、権力。,He has great **power**.,,
test,332,64.71,296,(名詞/動詞) テスト、試験する。,I have a **test** tomorrow.,,
visit,333,64.7,295,(動詞/名詞) 訪れる、訪問。,I will **visit** my grandmother next week.,,
center,334,64.7,295,(名詞) 中心。,The city **center** is very busy.,,
grow,335,64.69,294,(動詞) 育つ、成長する。,Children **grow** quickly.,,
nothing,336,64.68,294,(代名詞) 何も～ない。,There is **nothing** to do.,,
return,337,64.68,294,(動詞/名詞) 戻る、返却。,Please **return** the book.,,
mother,338,64.67,293,(名詞) 母。,My **mother** is a great cook.,,
walk,339,64.63,291,(動詞/名詞) 歩く、散歩。,Let's go for a **walk**.,,
matter,340,64.63,290,(名詞/動詞) 問題、重要である。,What's the **matter**?,,
mind,341,64.62,290,(名詞/動詞) 心、気にする。,Do you **mind** if I open the window?,,
value,342,64.61,289,(名詞/動詞) 価値、評価する。,What is the **value** of this painting?,,
office,343,64.59,288,(名詞) オフィス、事務所。,I work in an **office**.,,
record,344,64.59,287,(名詞/動詞) 記録、記録する。,Please **record** the meeting.,,
stay,345,64.57,286,(動詞) 滞在する、とどまる。,Please **stay** calm.,,
force,346,64.57,286,(名詞/動詞) 力、強制する。,The police used **force**.,,
stop,347,64.55,285,(動詞/名詞) 止まる、停止。,Please **stop** talking.,,
several,348,64.54,285,(形容詞) いくつかの。,I have **several** books.,,
light,349,64.53,284,(名詞/形容詞) 光、軽い。,Please turn on the **light**.,,
develop,350,64.51,282,(動詞) 発展させる、開発する。,We need to **develop** new skills.,,
remember,351,64.5,282,(動詞) 覚えている。,I can't **remember** her name.,,
bit,352,64.49,281,(名詞) 少し、断片。,I'm a little **bit** tired.,,
share,353,64.48,281,(動詞/名詞) 分け合う、共有。,Let's **share** the food.,,
real,354,64.47,280,(形容詞) 本当の、現実の。,Is it **real**?,,
answer,355,64.46,279,(名詞/動詞) 答え、答える。,What's the **answer**?,,
sit,356,64.44,278,(動詞) 座る。,Please **sit** down.,,
figure,357,64.43,278,(名詞/動詞) 数字、人物、理解する。,I can't **figure** out this problem.,,
letter,358,64.43,277,(名詞) 手紙、文字。,I wrote a **letter** to my friend.,,
decide,359,64.41,276,(動詞) 決める。,I need to **decide** what to do.,,
language,360,64.39,275,(名詞) 言語。,What **language** do you speak?,,
subject,361,64.35,273,(名詞) 主題、科目。,What's your favorite **subject**?,,
class,362,64.35,272,(名詞) クラス、授業。,I have English **class** tomorrow.,,
development,363,64.31,270,(名詞) 発展、開発。,Economic **development** is important.,,
town,364,64.31,269,(名詞) 町。,I live in a small **town**.,,
